polypeptide_id,attr_type,value,value2
P08637,go_classifier,process,natural killer cell mediated cytotoxicity
P08637,go_classifier,process,phosphatidylinositol 3-kinase/protein kinase B signal transduction
P08637,go_classifier,process,positive regulation of natural killer cell proliferation
P08637,go_classifier,process,positive regulation of tumor necrosis factor production
P12314,synonym,Fc-gamma RI,
P12314,synonym,Fc-gamma RIA,
P12314,synonym,FCG1,
P12314,synonym,FcgammaRIa,
P12314,synonym,FCGR1,
P12314,synonym,FcRI,
P12314,synonym,IGFR1,
P12314,synonym,IgG Fc receptor I,
P12314,pfam,PF13895,Ig_2
P12314,pfam,PF00047,ig
P12314,pfam,PF13927,Ig_3
P12314,go_classifier,component,external side of plasma membrane
P12314,go_classifier,function,high-affinity IgG receptor activity
P12314,go_classifier,function,IgG binding
P12314,go_classifier,function,IgG receptor activity
P12314,go_classifier,process,antibody-dependent cellular cytotoxicity
P12314,go_classifier,process,cell surface receptor signaling pathway
P12314,go_classifier,process,defense response to bacterium
P12314,go_classifier,process,Fc-gamma receptor signaling pathway
P12314,go_classifier,process,"phagocytosis, recognition"
P12314,go_classifier,process,positive regulation of phagocytosis
P12314,go_classifier,process,positive regulation of type IIa hypersensitivity
P12314,go_classifier,process,positive regulation of type III hypersensitivity
P12314,go_classifier,process,receptor-mediated endocytosis
P12318,synonym,CD32,
P12318,synonym,CDw32,
P12318,synonym,Fc-gamma RII-a,
P12318,synonym,Fc-gamma-RIIa,
P12318,synonym,FCG2,
P12318,synonym,FCGR2A1,
P12318,synonym,FcRII-a,
P12318,synonym,IGFR2,
P12318,synonym,IgG Fc receptor II-a,
P12318,pfam,PF13895,Ig_2
P12318,go_classifier,component,external side of plasma membrane
P12318,go_classifier,component,secretory granule membrane
P12318,go_classifier,function,IgG binding
P12318,go_classifier,function,IgG receptor activity
P12318,go_classifier,process,antibody-dependent cellular cytotoxicity
P12318,go_classifier,process,cell surface receptor signaling pathway
P12318,go_classifier,process,positive regulation of phagocytosis
P12318,go_classifier,process,positive regulation of tumor necrosis factor production
P24855,synonym,3.1.21.1,
P24855,synonym,Deoxyribonuclease I,
P24855,synonym,DNase I,
P24855,synonym,DNL1,
P24855,synonym,DRNI,
P24855,pfam,PF03372,Exo_endo_phos
P24855,go_classifier,component,extracellular exosome
P24855,go_classifier,component,extracellular region
P24855,go_classifier,component,nuclear envelope
P24855,go_classifier,component,nucleus
P24855,go_classifier,component,zymogen granule
P24855,go_classifier,function,actin binding
P24855,go_classifier,function,deoxyribonuclease I activity
P24855,go_classifier,function,DNA binding
P24855,go_classifier,process,apoptotic process
P24855,go_classifier,process,DNA catabolic process
P24855,go_classifier,process,neutrophil activation involved in immune response
P24855,go_classifier,process,regulation of acute inflammatory response
P24855,go_classifier,process,regulation of neutrophil mediated cytotoxicity
P01589,synonym,IL-2 receptor subunit alpha,
P01589,synonym,IL-2-RA,
P01589,synonym,IL-2R subunit alpha,
P01589,synonym,IL2-RA,
P01589,synonym,p55,
P01589,synonym,TAC antigen,
P01589,pfam,PF00084,Sushi
P01589,go_classifier,component,interleukin-2 receptor complex
P01589,go_classifier,process,activated T cell proliferation
P01589,go_classifier,process,interleukin-2-mediated signaling pathway
P01589,go_classifier,process,"regulation of CD4-positive, alpha-beta T cell proliferation"
P14784,synonym,High affinity IL-2 receptor subunit beta,
P14784,synonym,IL-2 receptor subunit beta,
P14784,synonym,IL-2R subunit beta,
P14784,synonym,IL-2RB,
P14784,synonym,IL15RB,
P14784,synonym,Interleukin-15 receptor subunit beta,
P14784,synonym,p70-75,
P14784,synonym,p75,
P14784,pfam,PF18707,IL2RB_N1
P14784,go_classifier,component,cell surface
P14784,go_classifier,component,cytosol
P14784,go_classifier,component,endosome
P14784,go_classifier,component,interleukin-2 receptor complex
P14784,go_classifier,function,coreceptor activity
P14784,go_classifier,function,cytokine receptor activity
P14784,go_classifier,function,interleukin-15 receptor activity
P14784,go_classifier,process,immunoglobulin mediated immune response
P14784,go_classifier,process,interleukin-15-mediated signaling pathway
P14784,go_classifier,process,positive regulation of phagocytosis
P14784,go_classifier,process,protein-containing complex assembly
P01375,synonym,Cachectin,
P01375,synonym,TNF-a,
P01375,synonym,TNF-alpha,
P01375,synonym,TNFA,
P01375,synonym,TNFSF2,
P01375,synonym,Tumor necrosis factor ligand superfamily member 2,
P01375,pfam,PF00229,TNF
P01375,go_classifier,component,neuronal cell body
P01375,go_classifier,function,death receptor agonist activity
P01375,go_classifier,function,receptor ligand activity
P01375,go_classifier,function,transcription cis-regulatory region binding
P01375,go_classifier,process,antiviral innate immune response
P01375,go_classifier,process,astrocyte activation
P01375,go_classifier,process,calcium-mediated signaling
P01375,go_classifier,process,cell surface receptor signaling pathway via JAK-STAT
P01375,go_classifier,process,cellular response to amyloid-beta
P01375,go_classifier,process,cellular response to ionizing radiation
P01375,go_classifier,process,cellular response to lipopolysaccharide
P01375,go_classifier,process,cellular response to retinoic acid
P01375,go_classifier,process,cellular response to toxic substance
P01375,go_classifier,process,cellular response to type II interferon
P01375,go_classifier,process,circadian rhythm
P01375,go_classifier,process,cognition
P01375,go_classifier,process,detection of mechanical stimulus involved in sensory perception of pain
P01375,go_classifier,process,endothelial cell apoptotic process
P01375,go_classifier,process,inflammatory response to wounding
P01375,go_classifier,process,leukocyte migration involved in inflammatory response
P01375,go_classifier,process,liver regeneration
P01375,go_classifier,process,macrophage activation involved in immune response
P01375,go_classifier,process,microglial cell activation
P01375,go_classifier,process,negative regulation of amyloid-beta clearance
P01375,go_classifier,process,negative regulation of apoptotic signaling pathway
P01375,go_classifier,process,negative regulation of bile acid secretion
P01375,go_classifier,process,negative regulation of blood vessel endothelial cell migration
P01375,go_classifier,process,negative regulation of cytokine production involved in immune response
P01375,go_classifier,process,negative regulation of D-glucose import
P01375,go_classifier,process,negative regulation of DNA-templated transcription
P01375,go_classifier,process,negative regulation of endothelial cell proliferation
P01375,go_classifier,process,negative regulation of heart rate
P01375,go_classifier,process,negative regulation of L-glutamate import across plasma membrane
P01375,go_classifier,process,negative regulation of miRNA transcription
P01375,go_classifier,process,negative regulation of mitotic cell cycle
P01375,go_classifier,process,negative regulation of myelination
P01375,go_classifier,process,negative regulation of neurogenesis
P01375,go_classifier,process,negative regulation of oxidative phosphorylation
P01375,go_classifier,process,negative regulation of protein-containing complex disassembly
P01375,go_classifier,process,negative regulation of systemic arterial blood pressure
P01375,go_classifier,process,negative regulation of transcription by RNA polymerase II
P01375,go_classifier,process,negative regulation of vascular wound healing
P01375,go_classifier,process,phosphatidylinositol 3-kinase/protein kinase B signal transduction
P01375,go_classifier,process,positive regulation of action potential
P01375,go_classifier,process,positive regulation of amyloid-beta formation
P01375,go_classifier,process,positive regulation of blood microparticle formation
P01375,go_classifier,process,positive regulation of calcineurin-NFAT signaling cascade
P01375,go_classifier,process,positive regulation of canonical NF-kappaB signal transduction
P01375,go_classifier,process,positive regulation of cytokine production involved in inflammatory response
P01375,go_classifier,process,positive regulation of DNA biosynthetic process
P01375,go_classifier,process,positive regulation of DNA-templated transcription
P01375,go_classifier,process,positive regulation of extrinsic apoptotic signaling pathway
P01375,go_classifier,process,positive regulation of fractalkine production
P01375,go_classifier,process,positive regulation of glial cell proliferation
P01375,go_classifier,process,positive regulation of hepatocyte proliferation
P01375,go_classifier,process,positive regulation of inflammatory response
P01375,go_classifier,process,positive regulation of interleukin-1 beta production
P01375,go_classifier,process,positive regulation of interleukin-18 production
P01375,go_classifier,process,positive regulation of interleukin-33 production
P01375,go_classifier,process,positive regulation of JNK cascade
P01375,go_classifier,process,positive regulation of leukocyte adhesion to arterial endothelial cell
P01375,go_classifier,process,positive regulation of leukocyte adhesion to vascular endothelial cell
P01375,go_classifier,process,positive regulation of MAPK cascade
P01375,go_classifier,process,positive regulation of miRNA transcription
P01375,go_classifier,process,positive regulation of mitotic nuclear division
P01375,go_classifier,process,positive regulation of neuroinflammatory response
P01375,go_classifier,process,positive regulation of neuron apoptotic process
P01375,go_classifier,process,positive regulation of neutrophil activation
P01375,go_classifier,process,positive regulation of non-canonical NF-kappaB signal transduction
P01375,go_classifier,process,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction
P01375,go_classifier,process,positive regulation of protein catabolic process
P01375,go_classifier,process,positive regulation of protein localization to plasma membrane
P01375,go_classifier,process,positive regulation of protein-containing complex assembly
P01375,go_classifier,process,positive regulation of protein-containing complex disassembly
P01375,go_classifier,process,positive regulation of synaptic transmission
P01375,go_classifier,process,positive regulation of synoviocyte proliferation
P01375,go_classifier,process,positive regulation of transcription by RNA polymerase II
P01375,go_classifier,process,positive regulation of type II interferon production
P01375,go_classifier,process,positive regulation of vascular associated smooth muscle cell proliferation
P01375,go_classifier,process,protein localization to plasma membrane
P01375,go_classifier,process,regulation of canonical NF-kappaB signal transduction
P01375,go_classifier,process,regulation of endothelial cell apoptotic process
P01375,go_classifier,process,regulation of fat cell differentiation
P01375,go_classifier,process,regulation of immunoglobulin production
P01375,go_classifier,process,regulation of membrane lipid metabolic process
P01375,go_classifier,process,regulation of metabolic process
P01375,go_classifier,process,regulation of reactive oxygen species metabolic process
P01375,go_classifier,process,regulation of synapse organization
P01375,go_classifier,process,"regulation of synaptic transmission, glutamatergic"
P01375,go_classifier,process,"response to 3,3',5-triiodo-L-thyronine"
P01375,go_classifier,process,response to activity
P01375,go_classifier,process,response to ethanol
P01375,go_classifier,process,response to fructose
P01375,go_classifier,process,response to gold nanoparticle
P01375,go_classifier,process,response to Gram-negative bacterium
P01375,go_classifier,process,response to hypoxia
P01375,go_classifier,process,response to isolation stress
P01375,go_classifier,process,response to L-glutamate
P01375,go_classifier,process,response to macrophage colony-stimulating factor
P01375,go_classifier,process,response to nutrient levels
P01375,go_classifier,process,response to xenobiotic stimulus
P01375,go_classifier,process,skeletal muscle contraction
P01375,go_classifier,process,toll-like receptor 3 signaling pathway
P01375,go_classifier,process,vascular endothelial growth factor production
P01375,go_classifier,process,vasodilation
P01374,synonym,LT-alpha,
P01374,synonym,TNF-beta,
P01374,synonym,TNFB,
P01374,synonym,TNFSF1,
P01374,synonym,Tumor necrosis factor ligand superfamily member 1,
P01374,pfam,PF00229,TNF
P01374,go_classifier,function,cytokine activity
P01374,go_classifier,function,signaling receptor binding
P01374,go_classifier,function,tumor necrosis factor receptor binding
P01374,go_classifier,process,cell surface receptor signaling pathway
P01374,go_classifier,process,immune response
P01374,go_classifier,process,positive regulation of canonical NF-kappaB signal transduction
P01374,go_classifier,process,positive regulation of extrinsic apoptotic signaling pathway
P01374,go_classifier,process,positive regulation of type II interferon production
P01374,go_classifier,process,response to xenobiotic stimulus
P31994,synonym,CD32,
P31994,synonym,CDw32,
P31994,synonym,Fc-gamma RII-b,
P31994,synonym,Fc-gamma-RIIb,
P31994,synonym,FCG2,
P31994,synonym,FcRII-b,
P31994,synonym,IGFR2,
P31994,synonym,IgG Fc receptor II-b,
P31994,pfam,PF13895,Ig_2
P31994,go_classifier,component,cell body
P31994,go_classifier,component,dendritic spine
P31994,go_classifier,component,external side of plasma membrane
P31994,go_classifier,function,amyloid-beta binding
P31994,go_classifier,function,IgG binding
P31994,go_classifier,function,IgG receptor activity
P31994,go_classifier,function,low-affinity IgG receptor activity
P31994,go_classifier,function,protein-containing complex binding
P31994,go_classifier,process,antibody-dependent cellular cytotoxicity
P31994,go_classifier,process,antigen processing and presentation of exogenous peptide antigen via MHC class II
P31994,go_classifier,process,cell surface receptor signaling pathway
P31994,go_classifier,process,cellular response to amyloid-beta
P31994,go_classifier,process,cellular response to molecule of bacterial origin
P31994,go_classifier,process,cerebellum development
P31994,go_classifier,process,defense response
P31994,go_classifier,process,Fc-gamma receptor signaling pathway
P31994,go_classifier,process,follicular B cell differentiation
P31994,go_classifier,process,follicular dendritic cell activation
P31994,go_classifier,process,immune complex clearance by monocytes and macrophages
P31994,go_classifier,process,immune effector process
P31994,go_classifier,process,immunoglobulin mediated immune response
P31994,go_classifier,process,inflammatory response
P31994,go_classifier,process,mature B cell differentiation involved in immune response
P31994,go_classifier,process,negative regulation of acute inflammatory response to antigenic stimulus
P31994,go_classifier,process,negative regulation of antibody-dependent cellular cytotoxicity
P31994,go_classifier,process,negative regulation of B cell activation
P31994,go_classifier,process,negative regulation of B cell proliferation
P31994,go_classifier,process,negative regulation of B cell receptor signaling pathway
P31994,go_classifier,process,negative regulation of cytokine production
P31994,go_classifier,process,negative regulation of cytotoxic T cell degranulation
P31994,go_classifier,process,negative regulation of dendritic cell antigen processing and presentation
P31994,go_classifier,process,negative regulation of dendritic cell differentiation
P31994,go_classifier,process,negative regulation of humoral immune response mediated by circulating immunoglobulin
P31994,go_classifier,process,negative regulation of immune response
P31994,go_classifier,process,negative regulation of immunoglobulin production
P31994,go_classifier,process,negative regulation of interleukin-10 production
P31994,go_classifier,process,negative regulation of macrophage activation
P31994,go_classifier,process,negative regulation of neutrophil activation
P31994,go_classifier,process,negative regulation of phagocytosis
P31994,go_classifier,process,negative regulation of type I hypersensitivity
P31994,go_classifier,process,phagocytosis
P31994,go_classifier,process,"phagocytosis, engulfment"
P31994,go_classifier,process,positive regulation of humoral immune response
P31994,go_classifier,process,positive regulation of JNK cascade
P31994,go_classifier,process,positive regulation of phagocytosis
P31994,go_classifier,process,positive regulation of response to endoplasmic reticulum stress
P31994,go_classifier,process,positive regulation of tumor necrosis factor production
P31994,go_classifier,process,receptor-mediated endocytosis
P31994,go_classifier,process,regulation of adaptive immune response
P31994,go_classifier,process,regulation of B cell antigen processing and presentation
P31994,go_classifier,process,regulation of dendritic spine maintenance
P31994,go_classifier,process,regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway
P31994,go_classifier,process,regulation of immune complex clearance by monocytes and macrophages
P31994,go_classifier,process,regulation of innate immune response
P31994,go_classifier,process,response to bacterium
P31995,synonym,CD32,
P31995,synonym,CDw32,
P31995,synonym,Fc-gamma RII-c,
P31995,synonym,Fc-gamma-RIIc,
P31995,synonym,FCG2,
P31995,synonym,FcRII-c,
P31995,synonym,IGFR2,
P31995,synonym,IgG Fc receptor II-c,
P31995,pfam,PF13895,Ig_2
P31995,go_classifier,component,external side of plasma membrane
P31995,go_classifier,component,membrane
P31995,go_classifier,function,IgG binding
P31995,go_classifier,function,IgG receptor activity
P31995,go_classifier,process,antibody-dependent cellular cytotoxicity
P31995,go_classifier,process,cell surface receptor signaling pathway
P31995,go_classifier,process,positive regulation of phagocytosis
P31995,go_classifier,process,positive regulation of tumor necrosis factor production
P05164,synonym,1.11.2.2,
P05164,synonym,MPO,
P05164,pfam,PF03098,An_peroxidase
P05164,go_classifier,component,azurophil granule lumen
P05164,go_classifier,component,extracellular region
P05164,go_classifier,component,intracellular membrane-bounded organelle
P05164,go_classifier,component,nucleoplasm
P05164,go_classifier,component,phagocytic vesicle lumen
P05164,go_classifier,process,defense response to bacterium
P05164,go_classifier,process,response to food
P05164,go_classifier,process,response to gold nanoparticle
P05164,go_classifier,process,response to lipopolysaccharide
P05164,go_classifier,process,response to mechanical stimulus
P30968,synonym,GnRH receptor,
P30968,synonym,GnRH-R,
P30968,synonym,GRHR,
P30968,pfam,PF00001,7tm_1
P30968,go_classifier,process,cellular response to hormone stimulus
P30968,go_classifier,process,G protein-coupled receptor signaling pathway
P30968,go_classifier,process,gonadotropin secretion
P01148,synonym,GNRH,
P01148,synonym,GRH,
P01148,synonym,LHRH,
P01148,synonym,Progonadoliberin I,
P01148,pfam,PF00446,GnRH
P48551,synonym,IFN-alpha binding protein,
P48551,synonym,IFN-alpha/beta receptor 2,
P48551,synonym,IFN-R-2,
P48551,synonym,IFNABR,
P48551,synonym,IFNARB,
P48551,synonym,Interferon alpha binding protein,
P48551,synonym,Type I interferon receptor 2,
P48551,pfam,PF01108,Tissue_fac
P48551,pfam,PF09294,Interfer-bind
P48551,go_classifier,function,cytokine binding
P48551,go_classifier,function,JAK pathway signal transduction adaptor activity
P48551,go_classifier,process,cell surface receptor signaling pathway via JAK-STAT
P48551,go_classifier,process,cellular response to interferon-beta
P48551,go_classifier,process,cellular response to virus
P48551,go_classifier,process,defense response to virus
P48551,go_classifier,process,response to interferon-beta
P48551,go_classifier,process,type I interferon-mediated signaling pathway
P17181,synonym,CRF2-1,
P17181,synonym,Cytokine receptor class-II member 1,
P17181,synonym,Cytokine receptor family 2 member 1,
P17181,synonym,IFN-alpha/beta receptor 1,
P17181,synonym,IFN-R-1,
P17181,synonym,IFNAR,
P17181,synonym,Type I interferon receptor 1,
P17181,pfam,PF01108,Tissue_fac
P17181,pfam,PF09294,Interfer-bind
P17181,go_classifier,component,late endosome
P17181,go_classifier,component,lysosome
P17181,go_classifier,function,cytokine binding
P17181,go_classifier,function,JAK pathway signal transduction adaptor activity
P17181,go_classifier,function,type I interferon binding
P17181,go_classifier,process,cell surface receptor signaling pathway via JAK-STAT
P17181,go_classifier,process,cellular response to interferon-alpha
P17181,go_classifier,process,cellular response to interferon-beta
P17181,go_classifier,process,cellular response to virus
P17181,go_classifier,process,positive regulation of cellular respiration
P17181,go_classifier,process,response to lipopolysaccharide
P17181,go_classifier,process,type I interferon-mediated signaling pathway
P01563,synonym,IFN-alpha-2,
P01563,synonym,IFNA2A,
P01563,synonym,IFNA2B,
P01563,synonym,IFNA2C,
P01563,synonym,Interferon alpha-A,
P01563,synonym,LeIF A,
P01563,pfam,PF00143,Interferon
P01563,go_classifier,component,collagen-containing extracellular matrix
P01563,go_classifier,process,B cell activation involved in immune response
P01563,go_classifier,process,cell surface receptor signaling pathway via STAT
P01563,go_classifier,process,cellular response to virus
P01563,go_classifier,process,negative regulation of DNA-templated transcription
P01563,go_classifier,process,negative regulation of interleukin-13 production
P01563,go_classifier,process,negative regulation of interleukin-5 production
P01563,go_classifier,process,type I interferon-mediated signaling pathway
P05177,synonym,1.14.14.1,
P05177,synonym,Cholesterol 25-hydroxylase,
P05177,synonym,CYPIA2,
P05177,synonym,Cytochrome P(3)450,
P05177,synonym,Cytochrome P450 4,
P05177,synonym,Cytochrome P450-P3,
P05177,synonym,Hydroperoxy icosatetraenoate dehydratase,
P05177,pfam,PF00067,p450
P05177,go_classifier,function,electron transfer activity
P05177,go_classifier,function,estrogen 16-alpha-hydroxylase activity
P05177,go_classifier,function,estrogen 2-hydroxylase activity
P05177,go_classifier,function,hydroperoxy icosatetraenoate dehydratase activity
P05177,go_classifier,process,aflatoxin metabolic process
P05177,go_classifier,process,cholesterol metabolic process
P05177,go_classifier,process,estrogen metabolic process
P05177,go_classifier,process,long-chain fatty acid biosynthetic process
P05177,go_classifier,process,retinol metabolic process
P05177,go_classifier,process,xenobiotic catabolic process
P00747,synonym,3.4.21.7,
P00747,pfam,PF00051,Kringle
P00747,pfam,PF00089,Trypsin
P00747,pfam,PF00024,PAN_1
P00747,go_classifier,component,collagen-containing extracellular matrix
P00747,go_classifier,component,external side of plasma membrane
P00747,go_classifier,function,endopeptidase activity
P00747,go_classifier,function,enzyme binding
P00747,go_classifier,function,kinase binding
P00747,go_classifier,function,protease binding
P00747,go_classifier,function,protein antigen binding
P00747,go_classifier,function,protein-folding chaperone binding
P00747,go_classifier,function,signaling receptor binding
P00747,go_classifier,process,biological process involved in interaction with symbiont
P00747,go_classifier,process,negative regulation of cell population proliferation
P00747,go_classifier,process,positive regulation of blood vessel endothelial cell migration
P02671,pfam,PF00147,Fibrinogen_C
P02671,pfam,PF08702,Fib_alpha
P02671,pfam,PF12160,Fibrinogen_aC
P02671,go_classifier,component,collagen-containing extracellular matrix
P02671,go_classifier,component,endoplasmic reticulum
P02671,go_classifier,component,endoplasmic reticulum lumen
P02671,go_classifier,function,extracellular matrix structural constituent
P02671,go_classifier,function,metal ion binding
P02671,go_classifier,function,protein-macromolecule adaptor activity
P02671,go_classifier,function,signaling receptor binding
P02671,go_classifier,process,protein-containing complex assembly
P02679,pfam,PF00147,Fibrinogen_C
P02679,pfam,PF08702,Fib_alpha
P02679,go_classifier,component,collagen-containing extracellular matrix
P02679,go_classifier,component,endoplasmic reticulum lumen
P02679,go_classifier,function,extracellular matrix structural constituent
P02679,go_classifier,function,signaling receptor binding
P02679,go_classifier,process,protein-containing complex assembly
P05121,synonym,Endothelial plasminogen activator inhibitor,
P05121,synonym,PAI,
P05121,synonym,PAI-1,
P05121,synonym,PAI1,
P05121,synonym,PLANH1,
P05121,synonym,Serpin E1,
P05121,pfam,PF00079,Serpin
P05121,go_classifier,component,collagen-containing extracellular matrix
P05121,go_classifier,component,peptidase inhibitor complex
P05121,go_classifier,component,serine protease inhibitor complex
P05121,go_classifier,function,signaling receptor binding
P05121,go_classifier,process,dentinogenesis
P05121,go_classifier,process,positive regulation of odontoblast differentiation
P05121,go_classifier,process,regulation of signaling receptor activity
P05121,go_classifier,process,replicative senescence
Q02643,synonym,GHRH receptor,
Q02643,synonym,GRF receptor,
Q02643,synonym,GRFR,
Q02643,synonym,Growth hormone-releasing factor receptor,
Q02643,pfam,PF00002,7tm_2
Q02643,pfam,PF02793,HRM
Q02643,go_classifier,component,membrane
Q02643,go_classifier,function,G protein-coupled peptide receptor activity
Q02643,go_classifier,function,G protein-coupled receptor activity
