interactant_id,name,organism
BE0002150,"Glycogen phosphorylase, brain form",Humans
BE0000916,"Glycogen phosphorylase, muscle form",Humans
BE0002151,Aromatic-L-amino-acid decarboxylase,Humans
BE0002154,Serine hydroxymethyltransferase,Humans
BE0000602,Glutamate decarboxylase 2,Humans
BE0002162,Kynurenine--oxoglutarate transaminase 3,Humans
BE0002163,Acidic amino acid decarboxylase GADL1,Humans
BE0004605,Selenocysteine lyase,Humans
BE0004612,Immunoglobulin superfamily member 10,Humans
BE0002164,5-phosphohydroxy-L-lysine phospho-lyase,Humans
BE0000292,"Serine hydroxymethyltransferase, mitochondrial",Humans
BE0000898,"5-aminolevulinate synthase, erythroid-specific, mitochondrial",Humans
BE0002166,Alanine aminotransferase 2,Humans
BE0002167,Molybdenum cofactor sulfurase,Humans
BE0002168,Serine dehydratase-like,Humans
BE0000388,Serine racemase,Humans
BE0002171,O-phosphoseryl-tRNA(Sec) selenium transferase,Humans
BE0002172,Serine palmitoyltransferase 3,Humans
BE0002173,Glutamate decarboxylase 2,Humans
BE0010222,Aspartate aminotransferase,Humans
BE0000734,Methionine synthase,Humans
BE0000777,"Methylmalonyl-CoA mutase, mitochondrial",Humans
BE0000763,Methionine synthase reductase,Humans
BE0000320,"Methylmalonic aciduria type A protein, mitochondrial",Humans
BE0002175,Cyanocobalamin reductase / alkylcobalamin dealkylase,Humans
BE0002176,Methylenetetrahydrofolate reductase (NADPH),Humans
BE0000456,Corrinoid adenosyltransferase MMAB,Humans
BE0002668,Bifunctional adenosylcobalamin biosynthesis protein CobU,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)
BE0009637,Pancreatic proteases,
BE0000340,Protein amnionless,Humans
BE0000238,Transcobalamin-1,Humans
BE0000362,Transcobalamin-2,Humans
BE0004690,Cobalamin binding intrinsic factor,Humans
BE0000936,Cubilin,Humans
BE0000785,Multidrug resistance-associated protein 1,Humans
BE0000617,"C-1-tetrahydrofolate synthase, cytoplasmic",Humans
BE0000268,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",Humans
BE0000010,"Aminomethyltransferase, mitochondrial",Humans
BE0000822,Formimidoyltransferase-cyclodeaminase,Humans
BE0001240,Bifunctional purine biosynthesis protein ATIC,Humans
BE0000740,"Histidine--tRNA ligase, cytoplasmic",Humans
BE0000285,Sodium-coupled neutral amino acid transporter 3,Humans
BE0000086,Histidine ammonia-lyase,Humans
BE0003654,Monocarboxylate transporter 10,Humans
BE0002089,Catechol O-methyltransferase,Humans
BE0008997,Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1,Humans
BE0005015,Arsenite methyltransferase,Humans
BE0000372,Glycine N-methyltransferase,Humans
BE0000101,S-adenosylmethionine decarboxylase proenzyme,Humans
BE0000304,S-adenosylmethionine synthase isoform type-2,Humans
BE0000407,S-adenosylmethionine synthase isoform type-1,Humans
BE0000300,Spermidine synthase,Humans
BE0000535,Carbonic anhydrase 4,Humans
BE0000449,Monocarboxylate transporter 4,Humans
BE0000178,Monocarboxylate transporter 8,Humans
BE0000386,Monocarboxylate transporter 6,Humans
BE0000046,Pyruvate kinase PKLR,Humans
BE0000174,Monocarboxylate transporter 7,Humans
BE0000440,Monocarboxylate transporter 2,Humans
BE0000098,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",Humans
BE0000088,Pyruvate kinase PKM,Humans
BE0000195,Probable monocarboxylate transporter 5,Humans
BE0000361,Monocarboxylate transporter 3,Humans
BE0000669,Monocarboxylate transporter 1,Humans
BE0000698,"Pyruvate carboxylase, mitochondrial",Humans
BE0003655,Solute carrier organic anion transporter family member 2A1,Humans
BE0000614,Tyrosine 3-monooxygenase,Humans
BE0000789,Large neutral amino acids transporter small subunit 2,Humans
BE0000038,Phenylalanine--tRNA ligase alpha subunit,Humans
BE0000753,Phenylalanine-4-hydroxylase,Humans
BE0000028,"Phenylalanine--tRNA ligase, mitochondrial",Humans
BE0000561,Phenylalanine--tRNA ligase beta subunit,Humans
BE0000544,"Propionyl-CoA carboxylase beta chain, mitochondrial",Humans
BE0000159,Biotin--protein ligase,Humans
BE0000072,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",Humans
BE0000702,Acetyl-CoA carboxylase 2,Humans
BE0000445,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",Humans
BE0000492,"Propionyl-CoA carboxylase alpha chain, mitochondrial",Humans
BE0000626,Acetyl-CoA carboxylase 1,Humans
BE0001111,Cytochrome P450 1B1,Humans
BE0000094,Sodium-dependent multivitamin transporter,Humans
BE0004708,Sodium-coupled monocarboxylate transporter 1,Humans
BE0000738,Neuronal acetylcholine receptor subunit alpha-2,Humans
BE0002341,Neuronal acetylcholine receptor subunit alpha-7,Humans
BE0000494,Choline-phosphate cytidylyltransferase B,Humans
BE0002190,Choline/ethanolaminephosphotransferase 1,Humans
BE0000237,Choline/ethanolamine kinase,Humans
BE0000519,Choline O-acetyltransferase,Humans
BE0000784,Choline kinase alpha,Humans
BE0000636,"Choline dehydrogenase, mitochondrial",Humans
BE0000426,Acetylcholinesterase,Humans
BE0000615,Choline-phosphate cytidylyltransferase A,Humans
BE0002181,Phospholipase D1,Humans
BE0002179,Phospholipase D2,Humans
BE0002186,Phosphoethanolamine/phosphocholine phosphatase,Humans
BE0003647,Solute carrier family 22 member 2,Humans
BE0003648,Solute carrier family 22 member 1,Humans
BE0003650,Solute carrier family 22 member 3,Humans
BE0000106,Organic cation/carnitine transporter 2,Humans
BE0000757,Solute carrier family 22 member 4,Humans
BE0001059,Choline transporter-like protein 1,Humans
BE0002182,Choline transporter-like protein 4,Humans
BE0002183,Choline transporter-like protein 2,Humans
BE0002184,Choline transporter-like protein 3,Humans
BE0000696,High affinity choline transporter 1,Humans
BE0000212,High affinity cationic amino acid transporter 1,Humans
BE0000052,Cationic amino acid transporter 4,Humans
BE0000136,Cationic amino acid transporter 3,Humans
BE0000562,Cationic amino acid transporter 2,Humans
BE0000198,Lysine--tRNA ligase,Humans
BE0001260,"Thymidine kinase, cytosolic",Humans
BE0000520,Argininosuccinate lyase,Humans
BE0000005,"Nitric oxide synthase, inducible",Humans
BE0000758,"Arginase-2, mitochondrial",Humans
BE0000671,Argininosuccinate synthase,Humans
BE0000263,Nitric oxide synthase 3,Humans
BE0000168,Solute carrier family 23 member 1,Humans
BE0009869,Solute carrier family 23 member 2,Humans
BE0001361,Hyaluronate lyase,Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)
BE0004796,DNA,Humans
BE0001225,Xylose isomerase,Streptomyces rubiginosus
BE0002192,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",Humans
BE0002195,Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3,Humans
BE0002197,Gamma-butyrobetaine dioxygenase,Humans
BE0000138,Dopamine beta-hydroxylase,Humans
BE0002200,Peptidyl-glycine alpha-amidating monooxygenase,Humans
BE0002202,Prolyl 3-hydroxylase 1,Humans
BE0002206,Prolyl 3-hydroxylase 2,Humans
BE0002208,Prolyl 3-hydroxylase 3,Humans
BE0000060,Prolyl 4-hydroxylase subunit alpha-1,Humans
BE0002210,Prolyl 3-hydroxylase OGFOD1,Humans
BE0002203,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2,Humans
BE0002205,DNA oxidative demethylase ALKBH2,Humans
BE0002213,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,Humans
BE0002215,Lysine-specific demethylase 5D,Humans
BE0000087,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",Humans
BE0002221,"Trimethyllysine dioxygenase, mitochondrial",Humans
BE0002223,Transmembrane prolyl 4-hydroxylase,Humans
BE0002217,Egl nine homolog 1,Humans
BE0002211,Prolyl hydroxylase EGLN2,Humans
BE0002219,Prolyl hydroxylase EGLN3,Humans
BE0001979,"Thioredoxin reductase 1, cytoplasmic",Humans
BE0001057,"Solute carrier family 2, facilitated glucose transporter member 1",Humans
BE0004707,"Solute carrier family 2, facilitated glucose transporter member 3",Humans
BE0000893,"Solute carrier family 2, facilitated glucose transporter member 4",Humans
BE0003634,Carbonic anhydrase 14,Humans
BE0003628,Carbonic anhydrase 6,Humans
BE0002437,Carbonic anhydrase 9,Humans
BE0000365,"Glutamate receptor ionotropic, NMDA 1",Humans
BE0000760,"Glutamate receptor ionotropic, NMDA 2A",Humans
BE0000509,Extracellular calcium-sensing receptor,Humans
BE0000172,Beta-1 adrenergic receptor,Humans
BE0000694,Beta-2 adrenergic receptor,Humans
BE0000111,Diamine acetyltransferase 1,Humans
BE0000417,"Glutamate receptor ionotropic, NMDA 2B",Humans
BE0009692,Adenylosuccinate Synthetases,Humans
BE0000277,"Electrogenic aspartate/glutamate antiporter SLC25A13, mitochondrial",Humans
BE0000187,Aspartoacylase,Humans
BE0000219,Asparagine synthetase [glutamine-hydrolyzing],Humans
BE0000481,Aminoacylase-1,Humans
BE0000725,"Aspartate--tRNA ligase, cytoplasmic",Humans
BE0000235,"Electrogenic aspartate/glutamate antiporter SLC25A12, mitochondrial",Humans
BE0000528,Aspartyl/asparaginyl beta-hydroxylase,Humans
BE0002225,Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase,Humans
BE0002228,Adenylosuccinate synthetase isozyme 2,Humans
BE0001054,Excitatory amino acid transporter 3,Humans
BE0002229,"Aspartate--tRNA ligase, mitochondrial",Humans
BE0002230,Isoaspartyl peptidase/L-asparaginase,Humans
BE0003317,Ribonuclease pancreatic,Humans
BE0003751,Lysozyme C,Humans
BE0002227,Multifunctional protein CAD,Humans
BE0000306,"Ornithine transcarbamylase, mitochondrial",Humans
BE0000286,Arginase-1,Humans
BE0000371,Ornithine decarboxylase antizyme 1,Humans
BE0000258,Mitochondrial ornithine transporter 2,Humans
BE0000201,Mitochondrial ornithine transporter 1,Humans
BE0000347,"Glycine amidinotransferase, mitochondrial",Humans
BE0000874,CTP synthase 1,Humans
BE0000374,Amidophosphoribosyltransferase,Humans
BE0000004,Coagulation factor XIII A chain,Humans
BE0000825,"Glutaminase kidney isoform, mitochondrial",Humans
BE0000003,"Glutaminase liver isoform, mitochondrial",Humans
BE0001035,Protein-glutamine gamma-glutamyltransferase 2,Humans
BE0002236,Protein-glutamine gamma-glutamyltransferase 5,Humans
BE0002239,Protein-glutamine gamma-glutamyltransferase 6,Humans
BE0002241,Protein-glutamine gamma-glutamyltransferase K,Humans
BE0002243,Protein-glutamine gamma-glutamyltransferase 4,Humans
BE0001273,Protein-glutamine gamma-glutamyltransferase E,Humans
BE0002245,Protein-glutamine gamma-glutamyltransferase Z,Humans
BE0000321,GMP synthase [glutamine-hydrolyzing],Humans
BE0002235,Phosphoribosylformylglycinamidine synthase,Humans
BE0002237,"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial",Humans
BE0002238,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2,Humans
BE0002242,Glutamine--tRNA ligase,Humans
BE0002244,Glutamine-dependent NAD(+) synthetase,Humans
BE0009870,Sodium-coupled neutral amino acid symporter 1,Humans
BE0009871,Sodium-coupled neutral amino acid symporter 2,Humans
BE0000236,Neutral amino acid transporter B(0),Humans
BE0000423,Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+),Humans
BE0004769,Y+L amino acid transporter 1,Humans
BE0009872,Y+L amino acid transporter 2,Humans
BE0000222,Large neutral amino acids transporter small subunit 1,Humans
BE0002251,"b(0,+)-type amino acid transporter 1",Humans
BE0004907,5'-AMP-activated protein kinase,Humans
BE0003540,Adenosine kinase,Humans
BE0000254,5'-AMP-activated protein kinase subunit beta-1,Humans
BE0000350,"Acetyl-coenzyme A synthetase, cytoplasmic",Humans
BE0000677,5'-AMP-activated protein kinase catalytic subunit alpha-1,Humans
BE0000269,Adenylate cyclase type 1,Humans
BE0000639,Long-chain-fatty-acid--CoA ligase 1,Humans
BE0000958,Cyclic AMP-responsive element-binding protein 1,Humans
BE0000487,"3',5'-cyclic-AMP phosphodiesterase 4B",Humans
BE0001473,Adenosine 5'-monophosphoramidase HINT1,Humans
BE0001287,"3',5'-cyclic-AMP phosphodiesterase 4D",Humans
BE0002431,"Fructose-1,6-bisphosphatase 1",Humans
BE0000352,AMP deaminase 1,Humans
BE0000115,Adenine phosphoribosyltransferase,Humans
BE0000888,Acyl-CoA (8-3)-desaturase,Humans
BE0002246,Acyl-CoA 6-desaturase,Humans
BE0001023,Transient receptor potential cation channel subfamily V member 1,Humans
BE0000688,Free fatty acid receptor 1,Humans
BE0000071,Peroxisome proliferator-activated receptor alpha,Humans
BE0001777,Bile acid receptor,Humans
BE0001007,Peroxisome proliferator-activated receptor delta,Humans
BE0000215,Peroxisome proliferator-activated receptor gamma,Humans
BE0000412,Retinoic acid receptor RXR-alpha,Humans
BE0009936,Very long chain fatty acid elongase 2,Humans
BE0009375,Very long chain fatty acid elongase 5,Humans
BE0000986,Sodium/calcium exchanger 1,Humans
BE0001821,"Fatty acid-binding protein, brain",Humans
BE0000063,"Serine--tRNA ligase, cytoplasmic",Humans
BE0001534,Methionine aminopeptidase 2,Humans
BE0000845,Betaine--homocysteine S-methyltransferase 1,Humans
BE0002249,S-methylmethionine--homocysteine S-methyltransferase BHMT2,Humans
BE0000432,"Methionine-R-sulfoxide reductase B2, mitochondrial",Humans
BE0000288,Methionine-R-sulfoxide reductase B1,Humans
BE0000170,Mitochondrial peptide methionine sulfoxide reductase,Humans
BE0000543,"Methionine--tRNA ligase, cytoplasmic",Humans
BE0002248,"Methionine--tRNA ligase, mitochondrial",Humans
BE0002178,Methionine adenosyltransferase 2 subunit beta,Humans
BE0000363,"Tyrosine--tRNA ligase, mitochondrial",Humans
BE0000230,"Tyrosine--tRNA ligase, cytoplasmic",Humans
BE0000779,Vitamin D3 receptor,Humans
BE0008987,Homeobox protein Hox-A10,Humans
BE0002250,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial",Humans
BE0001141,Vitamin D-binding protein,Humans
BE0000030,Cystine/glutamate transporter,Humans
BE0000035,Cystinosin,Humans
BE0001130,Amino acid transporter heavy chain SLC3A1,Humans
BE0000152,"Succinate-semialdehyde dehydrogenase, mitochondrial",Humans
BE0002258,Succinate receptor 1,Humans
BE0002257,"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial",Humans
BE0000176,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",Humans
BE0000355,"Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial",Humans
BE0009980,Prolyl 4-hydroxylase,Humans
BE0002256,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",Humans
BE0003645,Organic anion transporter 3,Humans
BE0002261,Mitochondrial dicarboxylate carrier,Humans
BE0000022,Solute carrier family 13 member 1,Humans
BE0000447,Solute carrier family 13 member 2,Humans
BE0000611,Na(+)/dicarboxylate cotransporter 3,Humans
BE0000370,Riboflavin kinase,Humans
BE0003327,Riboflavin synthase,Escherichia coli (strain K12)
BE0000595,Flavin reductase (NADPH),Humans
BE0002198,Amine oxidase [flavin-containing] A,Humans
BE0000259,"Beta-1,4-galactosyltransferase 1",Humans
BE0002263,"Beta-1,4-galactosyltransferase 4",Humans
BE0002265,N-acetyl-D-glucosamine kinase,Humans
BE0002266,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,Humans
BE0000391,Alpha-N-acetylglucosaminidase,Humans
BE0000109,N-acylglucosamine 2-epimerase,Humans
BE0000824,Metabotropic glutamate receptor 1,Humans
BE0000833,Metabotropic glutamate receptor 4,Humans
